organizationname,organizationid,locationid,locationname,catalogid,catalogname,is_catalog_deleted,catalog_created_on,catalog_modified_on,id,menuitemid,menuitemname,guest,effective_date,item_class_type,entitytype,calories,protein,sugar,fat,is_alcoholic,is_vegetarian_item,is_vegan_item,has_allergen,is_active,is_deleted,gms_created_on,gms_modified_on,itemunitprice,price_changed_on,sysinserttime,sysupdatetime,catalogid,average_rating,rating_count
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189835,itm-a27dfce0-5b2c-4d05-8ad0-f9d6379d5d0a,Classic Sandwich (a la carte),1,NULL,1,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-05-21 07:42:31.010786,9.000,2026-03-20 19:23:55.055277,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189756,itm-b5812acd-12a5-476c-984b-a92addb9648c,Original Sandwich (a la carte),1,NULL,1,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-05-21 07:42:31.080883,10.000,2026-03-20 19:23:55.059427,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189738,itm-c5639ef8-2aae-4291-b7ee-72903ec0c430,Chilled Strawberry Hibiscus Lemonade,1,NULL,3,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-05-21 07:42:30.988143,4.990,2026-03-27 21:46:27.054386,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189832,itm-ee819886-8926-474d-9dde-e33a7b144628,Frozen Blueberry Lavender Lemonade,1,NULL,3,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-05-21 07:42:31.084153,5.990,2026-03-27 21:46:27.054387,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189809,itm-86a795a2-1d3e-45cf-b021-68826343b277,Small Fountain Drink,1,NULL,3,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-05-21 07:42:31.082738,2.290,2026-03-20 19:23:55.067896,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189836,itm-5b9932cd-c6c3-4725-a91a-acf549a20ca0,Pellegrino Sparkling,1,NULL,3,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-05-21 07:42:30.997666,2.500,2026-03-20 19:23:55.117493,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189761,itm-b10fbc07-2b8a-4cba-a76d-b5399dddc708,Kids Honest Juice,1,NULL,3,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-05-21 07:42:30.999169,1.500,2026-03-20 19:23:55.121705,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189789,itm-ef659dad-beda-461b-be83-feed9956fa91,Lemonade Refill,1,NULL,3,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-05-21 07:37:28.960028,2.000,2026-03-20 19:23:55.126742,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189787,itm-8f8bfd1d-586a-4bf8-a28f-56e0669a8907,Milkshake Vanilla,1,NULL,3,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-05-21 07:42:31.067297,4.990,2026-03-20 19:23:55.131294,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
Houston Hot Chicken,org-490e23ce-6f23-4d3d-8544-8728f0965cfc,loc-bc017a27-667a-4bcd-b10c-a0e21794d992,Phoenix - Camelback,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,Phoenix - Camelback Catalog,False,2026-03-20 19:18:28.317691,2026-05-28 20:01:05.988273,189766,itm-a6c8aaed-3b1c-4a82-bfc6-95991e3ebc72,Milkshake Strawberry,1,NULL,3,Item,,NULL,NULL,NULL,False,NULL,NULL,NULL,True,False,2026-03-20 19:23:52.87187,2026-05-21 17:10:03.230583,4.990,2026-03-20 19:23:55.14202,2026-03-20 22:52:39.312782,2026-05-29 03:11:38.75494,catlg-46274044-0b0d-4014-9da8-b07e2aeadfed,NULL,NULL
